cpu,detail_buf,detail_code,detail_count,detail_dest_node,detail_dest_proc,detail_dest_thread,detail_file,detail_flags,detail_frompid,detail_gid_writer,detail_i_mode,detail_inode,detail_k__dev,detail_kgid,detail_kuid,detail_len,detail_msg,detail_pathname,detail_reply,detail_s_dev_inode,detail_sock,detail_topid,detail_transaction,detail_uid_inode,detail_uid_writer,event,flags,process,raw,tgid,tid,timestamp
7,12970367426014426317,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,88,8577,8577,2900937.4753
7,12970367426014426318,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,89,8577,8577,2900937.475307
7,12970367426014426319,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,90,8577,8577,2900937.475313
7,12970367426014426320,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,91,8577,8577,2900937.475319
7,12970367426014426321,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,92,8577,8577,2900937.475326
7,12970367426014426322,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,93,8577,8577,2900937.475331
7,12970367426014426323,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,94,8577,8577,2900937.475337
7,12970367426014426324,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,95,8577,8577,2900937.475343
7,12970367426014426325,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,96,8577,8577,2900937.475349
7,12970367426014426326,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,97,8577,8577,2900937.475355
7,12970367426014426327,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,98,8577,8577,2900937.475361
7,12970367426014426328,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,99,8577,8577,2900937.475367
