cpu,detail_buf,detail_count,detail_file,detail_frompid,detail_gid_writer,detail_i_mode,detail_inode,detail_k__dev,detail_kgid,detail_kuid,detail_len,detail_msg,detail_pathname,detail_s_dev_inode,detail_sock,detail_topid,detail_uid_inode,detail_uid_writer,event,flags,process,raw,tgid,tid,timestamp
6,12970367410361141654,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,82,25693,25693,2861848.10544
6,12970367410361141655,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,83,25693,25693,2861848.105443
6,12970367410361141656,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,84,25693,25693,2861848.105447
6,12970367410361141657,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,85,25693,25693,2861848.105449
6,12970367410361141658,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,86,25693,25693,2861848.105452
6,12970367410361141659,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,87,25693,25693,2861848.105455
6,12970367410361141660,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,88,25693,25693,2861848.105459
6,12970367410361141661,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,89,25693,25693,2861848.105463
6,12970367410361141662,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,90,25693,25693,2861848.105466
6,12970367410361141663,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,91,25693,25693,2861848.105469
6,12970367410361141664,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,92,25693,25693,2861848.105472
6,12970367410361141665,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,93,25693,25693,2861848.105475
6,12970367410361141666,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,94,25693,25693,2861848.105478
6,12970367410361141667,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,95,25693,25693,2861848.105481
6,12970367410361141668,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,96,25693,25693,2861848.105484
6,12970367410361141669,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,97,25693,25693,2861848.105486
6,12970367410361141670,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,98,25693,25693,2861848.10549
6,12970367410361141671,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,99,25693,25693,2861848.105493
6,12970367410361141672,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,100,25693,25693,2861848.105496
6,12970367410361141673,1,18446743525696352640,,,33206,57626,0,2000,2000,,,events_to_enable.txt,266338357,,,,,read_probe,d..1.,cleaned_trace_s,101,25693,25693,2861848.105498
6,12970367410361137944,2,18446743525696351360,,1376326,33188,17429751,0,,,,,enable,11,,,0,2000,write_probe,d..1.,cleaned_trace_s,102,25693,25693,2861848.105523
